Date,Price,Open,Change_in_percent,pe,pb,div_yield_percent
2024-07-26,24849.90,24430.05,1.82,23.40,4.19,1.2
2024-07-25,24406.10,24230.95,-0.03,23.03,4.11,1.22
2024-07-24,24413.50,24444.95,-0.27,23.05,4.11,1.22
2024-07-23,24479.05,24568.90,-0.12,23.11,4.12,1.22
2024-07-22,24509.25,24445.75,-0.09,23.28,4.15,1.2
2024-07-19,24530.90,24853.80,-1.09,23.31,4.16,1.24
2024-07-18,24800.85,24543.80,0.76,23.57,4.19,1.2
2024-07-16,24613.00,24615.90,0.11,23.39,4.17,1.21
2024-07-15,24586.70,24587.60,0.35,23.38,4.16,1.2
2024-07-12,24502.15,24387.95,0.77,23.32,4.22,1.23
2024-07-11,24315.95,24396.55,-0.03,23.14,4.19,1.23
2024-07-10,24324.45,24459.85,-0.45,23.15,4.19,1.23
2024-07-09,24433.20,24351.00,0.46,23.25,4.21,1.23
2024-07-08,24320.55,24329.45,-0.01,23.14,4.19,1.23
2024-07-05,24323.85,24213.35,0.09,23.15,4.19,1.23
2024-07-04,24302.15,24369.95,0.06,23.13,4.19,1.22
2024-07-03,24286.50,24291.75,0.67,23.11,4.18,1.22
2024-07-02,24123.85,24228.75,-0.07,22.96,4.16,1.23
2024-07-01,24141.95,23992.95,0.55,22.97,4.16,1.22
2024-06-28,24010.60,24085.90,-0.14,22.85,4.14,1.25
2024-06-27,24044.50,23881.55,0.74,22.86,4.13,1.24
2024-06-26,23868.80,23723.10,0.62,22.69,4.10,1.24
2024-06-25,23721.30,23577.10,0.78,22.55,4.08,1.25
2024-06-24,23537.85,23382.30,0.16,22.38,4.05,1.26
2024-06-21,23501.10,23661.15,-0.28,22.34,4.04,1.29
2024-06-20,23567.00,23586.15,0.22,22.41,4.05,1.25
2024-06-19,23516.00,23629.85,-0.18,22.36,4.08,1.22
2024-06-18,23557.90,23570.80,0.39,22.40,4.08,1.23
2024-06-14,23465.60,23464.95,0.29,22.32,4.07,1.27
2024-06-13,23398.90,23480.95,0.33,22.25,4.06,1.24
2024-06-12,23322.95,23344.45,0.25,22.18,4.09,1.24
2024-06-11,23264.85,23283.75,0.02,22.13,4.08,1.24
2024-06-10,23259.20,23319.15,-0.13,22.12,4.08,1.22
2024-06-07,23290.15,22821.85,2.05,22.15,4.08,1.23
2024-06-06,22821.40,22798.60,0.89,21.71,4.00,1.25
2024-06-05,22620.35,22128.35,3.36,21.51,3.97,1.26
2024-06-04,21884.50,23179.50,-5.93,20.81,3.84,1.31
2024-06-03,23263.90,23337.90,3.25,22.13,4.08,1.17
2024-05-31,22530.70,22568.10,0.19,21.40,3.95,1.28
2024-05-30,22488.65,22617.45,-0.95,21.36,3.94,1.22
2024-05-29,22704.70,22762.75,-0.80,21.57,3.98,1.29
2024-05-28,22888.15,22977.15,-0.19,21.74,4.01,1.28
2024-05-27,22932.45,23038.95,-0.11,21.85,4.02,1.28
2024-05-24,22957.10,22930.75,-0.05,21.88,4.03,1.28
2024-05-23,22967.65,22614.10,1.64,21.90,4.03,1.27
2024-05-22,22597.80,22576.60,0.31,21.55,3.96,1.29
2024-05-21,22529.05,22404.55,0.12,21.52,3.95,1.24
2024-05-18,22502.00,22512.85,0.16,21.50,3.95,1.25
2024-05-17,22466.10,22415.25,0.28,21.47,3.94,1.25
2024-05-16,22403.85,22319.20,0.92,21.41,3.93,1.26
2024-05-15,22200.55,22255.60,-0.08,21.17,3.89,1.35
2024-05-14,22217.85,22112.90,0.51,21.19,3.90,1.35
2024-05-13,22104.05,22027.95,0.22,21.35,3.88,1.35
2024-05-10,22055.20,21990.95,0.44,21.33,3.87,1.36
2024-05-09,21957.50,22224.80,-1.55,21.26,3.85,1.21
2024-05-08,22302.50,22231.20,0.00,21.61,3.91,1.19
2024-05-07,22302.50,22489.75,-0.62,21.61,3.91,1.19
2024-05-06,22442.70,22561.60,-0.15,21.77,3.94,1.16
2024-05-03,22475.85,22766.35,-0.76,21.87,3.94,1.16
2024-05-02,22648.20,22567.85,0.19,22.03,3.97,1.15
2024-04-30,22604.85,22679.65,-0.17,22.00,3.96,1.16
2024-04-29,22643.40,22475.55,1.00,22.20,3.97,1.15
2024-04-26,22419.95,22620.40,-0.67,22.00,3.93,1.19
2024-04-25,22570.35,22316.90,0.75,22.75,3.96,1.18
2024-04-24,22402.40,22421.55,0.15,22.58,3.93,1.19
2024-04-23,22368.00,22447.05,0.14,22.54,3.92,1.19
2024-04-22,22336.40,22336.90,0.86,22.78,3.92,1.19
2024-04-19,22147.00,21861.50,0.69,22.68,3.88,1.2
2024-04-18,21995.85,22212.35,-0.69,22.53,3.86,1.21
2024-04-16,22147.90,22125.30,-0.56,22.68,3.88,1.2
2024-04-15,22272.50,22339.05,-1.10,22.82,3.91,1.2
2024-04-12,22519.40,22677.40,-1.03,23.08,3.95,1.19
2024-04-10,22753.80,22720.25,0.49,23.32,4.01,1.18
2024-04-09,22642.75,22765.10,-0.10,23.20,3.99,1.19
2024-04-08,22666.30,22578.35,0.68,23.23,4.00,1.18
2024-04-05,22513.70,22486.40,0.00,23.07,3.97,1.19
2024-04-04,22514.65,22592.10,0.36,23.07,3.97,1.19
2024-04-03,22434.65,22385.70,-0.08,22.99,3.96,1.2
2024-04-02,22453.30,22458.80,-0.04,23.01,3.96,1.2
2024-04-01,22462.00,22455.00,0.61,23.02,3.96,1.2
2024-03-28,22326.90,22163.60,0.92,22.88,3.94,1.2
